Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,clone,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Group,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,cell_line
SRR5833868,RNA-Seq,102,4627071798,PRJNA394766,SAMN07359225,3477283809,Fetal fibroblast,GEO,1,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX3010756,GSM2705983,Reference,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,GSM2705983,Human fetus,SRP112629,
SRR5833869,RNA-Seq,102,5775360870,PRJNA394766,SAMN07359224,4329506141,Adult - Primary skin,GEO,1,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX3010757,GSM2705984,Healthy Control,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,GSM2705984,Skin,SRP112629,
SRR5833870,RNA-Seq,102,5267380266,PRJNA394766,SAMN07359223,3958268907,Adult - Primary skin,GEO,1,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX3010758,GSM2705985,Parkinson's Disease Patient,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,GSM2705985,Skin,SRP112629,
SRR5833871,RNA-Seq,102,1798030806,PRJNA394766,SAMN07359222,1362567394,Embryonic stem cell,GEO,1,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX3010759,GSM2705986,Reference,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,GSM2705986,HUES6 cells,SRP112629,HUES6
SRR5833872,RNA-Seq,102,5318854974,PRJNA394766,SAMN07359221,4026714350,Induced pluripotent stem cell,GEO,1,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX3010760,GSM2705987,Healthy Control,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,GSM2705987,iPSCs,SRP112629,
SRR5833873,RNA-Seq,102,2934859362,PRJNA394766,SAMN07359220,2221609760,Induced pluripotent stem cell,GEO,2,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3010761,GSM2705988,Healthy Control,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,GSM2705988,iPSCs,SRP112629,
SRR5833874,RNA-Seq,102,2628457992,PRJNA394766,SAMN07359219,1996297277,Induced pluripotent stem cell,GEO,1,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX3010762,GSM2705989,Parkinson's Disease Patient,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,GSM2705989,iPSCs,SRP112629,
SRR5833875,RNA-Seq,102,3616070952,PRJNA394766,SAMN07359218,2739210029,Induced pluripotent stem cell,GEO,2,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX3010763,GSM2705990,Parkinson's Disease Patient,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,GSM2705990,iPSCs,SRP112629,
SRR5833876,RNA-Seq,100,2537616900,PRJNA394766,SAMN07359217,1843477897,Neural progenitor cell,GEO,1,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX3010764,GSM2705991,Reference,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,GSM2705991,HUES-derived NPCs,SRP112629,HUES6
SRR5833877,RNA-Seq,100,2280801600,PRJNA394766,SAMN07359216,1656644126,Neural progenitor cell,GEO,1,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX3010765,GSM2705992,Healthy Control,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-22T00:00:00Z,GSM2705992,iPSC-derived NPCs,SRP112629,
