run_id	gsm	sample_name
SRR10078333	GSM4065097	d2_OSKM_R1
SRR10078334	GSM4065098	d2_OSKM_R2
SRR10078335	GSM4065099	d2_SKM_R1
SRR10078336	GSM4065100	d2_SKM_R2
SRR10078337	GSM4065101	d4_OSKM_R1
SRR10078338	GSM4065102	d4_OSKM_R2
SRR10078339	GSM4065103	d4_SKM_R1
SRR10078340	GSM4065104	d4_SKM_R2
SRR10078341	GSM4065105	d6_OSKM_R1
SRR10078342	GSM4065106	d6_OSKM_R2
SRR10078343	GSM4065107	d6_SKM_R1
SRR10078344	GSM4065108	d6_SKM_R2
SRR10078345	GSM4065109	d9_OSKM_R1
SRR10078346	GSM4065110	d9_OSKM_R2
SRR10078347	GSM4065111	d9_SKM_R1
SRR10078348	GSM4065112	d9_SKM_R2
SRR10078349	GSM4065113	ESC_R1
SRR10078350	GSM4065114	ESC_R2
SRR10078351	GSM4065115	MEFs_R2
SRR10078352	GSM4065116	OSKM_iPSC1_R1
SRR10078353	GSM4065117	OSKM_iPSC1_R2
SRR10078354	GSM4065118	OSKM_iPSC2_R1
SRR10078355	GSM4065119	OSKM_iPSC2_R2
SRR10078356	GSM4065120	SKM_iPSC1_R1
SRR10078357	GSM4065121	SKM_iPSC1_R2
SRR10078358	GSM4065122	SKM_iPSC2_R1
SRR10078359	GSM4065123	SKM_iPSC2_R2
SRR10078360	GSM4065124	d6_OSKM_Epcam_R1
SRR10078361	GSM4065125	d6_OSKM_Epcam_R2
SRR10078362	GSM4065126	d6_SKM_Epcam_R1
SRR10078363	GSM4065127	d6_SKM_Epcam_R2
SRR10078364	GSM4065128	d9_OSKM_GFP_R1
SRR10078365	GSM4065129	d9_OSKM_GFP_R2
SRR10078366	GSM4065130	d9_SKM_GFP_R1
SRR10078367	GSM4065131	d9_SKM_GFP_R2
SRR10078368	GSM4065132	d12_OSKM_GFP_R1
SRR10078369	GSM4065133	d12_OSKM_GFP_R2
SRR10078370	GSM4065134	d12_SKM_GFP_R1
SRR10078371	GSM4065135	d12_SKM_GFP_R2
